City,State,Station,Latitude,Longitude
Key West,FL,KEYW,24.55707,-81.75539
Harrisburg,PA,KMDT,40.19340,-76.76330
Grand Island,NE,KGRI,40.96720,-98.30890
Reno,NV,KRNO,39.49860,-119.76810
Traverse City,MI,KTVC,44.73720,-85.57970
Seattle,WA,KSEA,47.44900,-122.30930
